artigoEmPeriodico	2011	http://dx.doi.org/10.1186/1532-429X-13-S1-P19	From qualitative to quantitative tractography: a novel method to measure variation and error in diffusion mr tractography datasets of the myocardium	Journal of Cardiovascular Magnetic Resonance	Mekkaoui, Choukri ; Huang, Shuning ; Dai, Guangping ; Reese, Timothy G ; Thiagalingham, Aravinda ; Hoffmann, Udo ; Jackowski, Marcel P ; Sosnovik, David E	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1186/1532-429X-13-S1-O44	Classification of myofibers using statistics of the helix angle: a novel approach to characterize the structure of the human heart	Journal of Cardiovascular Magnetic Resonance	Mekkaoui, Choukri ; Huang, Shuning ; Dai, Guangping ; Reese, Timothy G ; Thiagalingham, Aravinda ; Hoffmann, Udo ; Jackowski, Marcel P ; Sosnovik, David E	B2	
artigoEmPeriodico	2011		Computer Vision based Machine Interaction	SBC Journal on 3D Interactive Systems	Morimoto, Carlos H. ; COUTINHO, Flavio Luis ; J. R. da Silva ; Ghirotti, S.E. ; SANTOS, Thiago Teixeira	B4	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.patrec.2010.02.016	Structural matching of 2D electrophoresis gels using deformed graphs	Pattern Recognition Letters	Noma, Alexandre ; Pardo, Alvaro ; Cesar Jr., Roberto M.	A1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.entcs.2011.11.031	Robust Range Finder Through a Laser Pointer and a Webcam	Electronic Notes in Theoretical Computer Science	Portugal-Zambrano, Christian E. ; MENA-CHALCO, JESÚS P.	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1155/2011/304875	Corpus Callosum Microstructural Changes Correlate with Cognitive Dysfunction in Early Stages of Relapsing-Remitting Multiple Sclerosis: Axial and Radial Diffusivities Approach	Multiple Sclerosis International	Rimkus, Carolina de Medeiros ; JUNQUEIRA, T. F. ; Lyra, Katarina Paz ; Jackowski, Marcel P. ; Machado, Melissa A. R. ; Miotto, Eliane C. ; Callegaro, Dagoberto ; Otaduy, Maria ConcepciÃ n GarcÃ a ; Leite, Claudia da Costa	Qualis nao identificado	Multiple Sclerosis International
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.patrec.2010.05.016	Multiple camera people detection and tracking using support integration	Pattern Recognition Letters	Santos, Thiago T. ; Morimoto, Carlos H.	A1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.cag.2011.01.012	Automatic camera control in virtual environments augmented using multiple sparse videos	Computers Graphics	Silva, Jeferson R. ; Santos, Thiago T. ; Morimoto, Carlos H.	B1	Computers & Graphics
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s12042-011-9079-0	The Sugarcane Genome Challenge: Strategies for Sequencing a Highly Complex Genome	Tropical Plant Biology (Print)	Souza, Glaucia Mendes ; Berges, Helene ; Bocs, Stephanie ; Casu, Rosanne ; D HONT, ANGELIQUE ; Ferreira, João Eduardo ; Henry, Robert ; Ming, Ray ; Potier, Bernard ; Sluys, Marie-Anne ; Vincentz, Michel ; Paterson, Andrew H.	Qualis nao identificado	Tropical Plant Biology (Print)
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.patrec.2009.03.019	An Information Theory framework for two-stage binary image operator design	Pattern Recognition Letters	Santos, Carlos S. ; Hirata, Nina S.T. ; Hirata, Roberto	A1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1118/1.3360180	Refraction corrected transmission ultrasound computed tomography for application in breast imaging	Medical Physics (Lancaster)	LI, S. ; JACKOWSKI, M. ; DIONE, D. P. ; VARSLOT, T. ; STAIB, L. H. ; MUELLER, K.	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1158/1940-6207.CAPR-09-0162	Early Changes in Gene Expression Induced by Tobacco Smoke: Evidence for the Importance of Estrogen within Lung Tissue	Cancer Prevention Research (Philadelphia)	MEIRELES, S. I. ; Esteves, G. H. ; Hirata, R. ; Peri, S. ; Devarajan, K. ; Slifker, M. ; Mosier, S. L. ; Peng, J. ; Vadhanam, M. V. ; Hurst, H. E. ; NEVES, E. J. ; REIS, L. F. ; Gairola, C. G. ; Gupta, R. C. ; Clapper, M. L.	B1	
artigoEmPeriodico	2010		CLINMALDB: A Clinical Field-Research Oriented Relational Database to Study Human Malaria	IADIS International Journal on WWWInternet	OIKAWA, M. K. ; MERINO, E. F. ; FERNANDEZ-BECERRA, C. ; WUNDERLICH, G. ; VILLALOBOS, J. M. ; SILVA, P. P. S. B. ; BARRERA, J. ; DURHAM, A. M. ; DELPORTILLO, H. A. ; FERREIRA, J. E.	B5	
artigoEmPeriodico	2009		Demographic profile of blood donors at three major Brazilian blood centers: results from the International REDS-II study, 2007 to 2008	Transfusion (Arlington, Va.)	CARNEIRO-PROIETTI, A. B. ; SABINO, E. C. ; Sampaio, Divaldo ; Proietti, Fernando A. ; GONCALVES, T. T. ; OLIVEIRA, C. D. L. ; FERREIRA, J. E. ; Liu, Jing ; Schreiber, George B. ; Murphy, Edward L. ; BUSCH, M. P.	B2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1109/TPAMI.2008.118	Multilevel Training of Binary Morphological Operators	IEEE Transactions on Pattern Analysis and Machine Intelligence	Hirata, N.S.T.	A1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.jneumeth.2008.10.037	Automatic contour extraction from 2D neuron images	Journal of Neuroscience Methods	LEANDRO, J ; CESARJR, R ; COSTA, L	B2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.jvcir.2009.01.002	Generating segmented meshes from textured color images	Journal of Visual Communication and Image Representation	LIZIER, M. A. ; MARTINS JR, D C ; CUADROS-VARGAS, A. J. ; CESAR JUNIOR, R. M. ; NONATO, L. G.	B1	Journal of Visual Communication and Image Representation (Print)
